experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,synthetic_proportion,augmentation_method,is_stale,stale_reason,is_diagnostic,diagnostic_reason,is_current_clean
stage2__init-random__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,random,Packaging Material,1,1,3,success,0.4780748663101605,0.9,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0__gen-none,anil,random,Logistics,1,1,5,success,0.5,0.0,none,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.5__gen-smote_nc,anil,random,Logistics,1,1,5,success,0.5,0.5,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.9__gen-smote_nc,anil,random,Logistics,1,1,5,success,0.5,0.9,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0__gen-none,anil,random,Packaging Material,1,1,5,success,0.4997885835095137,0.0,none,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,random,Packaging Material,1,1,5,success,0.4997885835095137,0.5,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,random,Packaging Material,1,1,5,success,0.4997885835095137,0.9,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-1__gen-smote_nc,anil,random,Logistics,2,2,3,success,0.5,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-random__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0__gen-none,anil,random,Logistics,2,2,3,success,0.5,0.0,none,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0.5__gen-smote_nc,anil,random,Logistics,2,2,3,success,0.5818181818181818,0.5,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0.9__gen-smote_nc,anil,random,Logistics,2,2,3,success,0.5818181818181818,0.9,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-1__gen-smote_nc,anil,random,Packaging Material,2,2,3,success,,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-random__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0__gen-none,anil,random,Packaging Material,2,2,3,success,,0.0,none,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,random,Packaging Material,2,2,3,success,,0.5,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,random,Packaging Material,2,2,3,success,,0.9,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-5__target-Logistics__synprop-0__gen-none,anil,random,Logistics,2,2,5,success,0.5818181818181818,0.0,none,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-5__target-Logistics__synprop-0.5__gen-smote_nc,anil,random,Logistics,2,2,5,success,0.5818181818181818,0.5,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-5__target-Logistics__synprop-0.9__gen-smote_nc,anil,random,Logistics,2,2,5,success,0.5818181818181818,0.9,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-5__target-Packaging-Material__synprop-0__gen-none,anil,random,Packaging Material,2,2,5,success,,0.0,none,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-5__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,random,Packaging Material,2,2,5,success,,0.5,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-2__kneg-2__steps-5__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,random,Packaging Material,2,2,5,success,,0.9,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-1__target-Logistics,finetune,A_weak_only,Logistics,2,2,1,failed,,,,True,architecture_mismatch,False,,False
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0__gen-none,finetune,A_weak_only,Logistics,2,2,3,success,0.5,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-Logistics,finetune,A_weak_only,Logistics,2,2,3,success,0.5,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0__gen-none,finetune,A_weak_only,Packaging Material,2,2,3,success,,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-___synprop-0__gen-none,finetune,A_weak_only,_,2,2,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-a__synprop-0__gen-none,finetune,A_weak_only,a,2,2,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-b__synprop-0__gen-none,finetune,A_weak_only,b,2,2,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-e__synprop-0__gen-none,finetune,A_weak_only,e,2,2,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-g__synprop-0__gen-none,finetune,A_weak_only,g,2,2,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-i__synprop-0__gen-none,finetune,A_weak_only,i,2,2,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-3__target-l__synprop-0__gen-none,finetune,A_weak_only,l,2,2,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-2__kneg-2__steps-5__target-Logistics,finetune,A_weak_only,Logistics,2,2,5,success,0.503264428182663,,,False,,False,,True
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-Logistics__synprop-0__gen-none,finetune,A_weak_only,Logistics,3,3,3,success,,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-Packaging-Material__synprop-0__gen-none,finetune,A_weak_only,Packaging Material,3,3,3,no_target_episodes_available,,0.0,none,False,,False,,False
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-___synprop-0__gen-none,finetune,A_weak_only,_,3,3,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-a__synprop-0__gen-none,finetune,A_weak_only,a,3,3,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
stage2__init-A_weak_only__method-finetune__kpos-3__kneg-3__steps-3__target-b__synprop-0__gen-none,finetune,A_weak_only,b,3,3,3,no_target_episodes_available,,0.0,none,True,single_letter_dept,False,,False
