supplier_number,Join_Year,article_count,negative_count,positive_count,neutral_count,avg_sentiment_score,avg_relevance_score,max_relevance_score,negative_ratio,has_high_relevance_negative_news
27799,2026,4,1,3,0,0.5,4.125,4.5,0.25,1
28088,2025,1,0,1,0,1.0,3.5,3.5,0.0,0
28334,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
29864,2016,3,0,2,1,0.6666666666666666,3.0,3.0,0.0,0
29864,2017,4,1,1,2,0.0,3.0,3.0,0.25,0
29864,2018,8,0,4,4,0.5,3.3125,4.0,0.0,0
29864,2019,1,0,0,1,0.0,3.5,3.5,0.0,0
29864,2020,2,0,2,0,1.0,3.0,3.0,0.0,0
29864,2021,2,0,0,2,0.0,3.0,3.0,0.0,0
29864,2022,5,0,4,1,0.8,3.1,3.5,0.0,0
29864,2023,1,0,1,0,1.0,3.5,3.5,0.0,0
29864,2024,11,0,8,3,0.7272727272727273,3.5,4.5,0.0,0
29864,2025,3,0,2,1,0.6666666666666666,3.3333333333333335,4.0,0.0,0
29864,2026,5,1,3,1,0.4,3.7,4.0,0.2,1
29880,2023,4,0,4,0,1.0,3.75,4.0,0.0,0
29880,2024,1,0,1,0,1.0,4.0,4.0,0.0,0
29880,2025,1,0,1,0,1.0,4.2,4.2,0.0,0
29880,2027,1,0,1,0,1.0,5.0,5.0,0.0,0
30613,2026,1,0,1,0,1.0,5.0,5.0,0.0,0
30647,2025,1,0,1,0,1.0,4.0,4.0,0.0,0
30741,2025,1,0,0,1,0.0,4.0,4.0,0.0,0
30748,2020,1,1,0,0,-1.0,3.5,3.5,1.0,0
30748,2022,3,2,0,1,-0.6666666666666666,3.3333333333333335,4.0,0.6666666666666666,1
30748,2023,1,1,0,0,-1.0,4.5,4.5,1.0,1
30748,2024,2,2,0,0,-1.0,3.5,4.0,1.0,1
30900,2022,1,0,1,0,1.0,3.5,3.5,0.0,0
30900,2023,4,0,4,0,1.0,3.425,4.0,0.0,0
30900,2024,7,0,6,1,0.8571428571428571,3.2857142857142856,4.0,0.0,0
30900,2025,27,0,20,7,0.7407407407407407,3.7333333333333334,5.0,0.0,0
30900,2026,40,12,24,4,0.3,4.0200000000000005,5.0,0.3,1
30900,2027,5,2,1,2,-0.2,4.2,5.0,0.4,1
31101,2026,1,0,1,0,1.0,5.0,5.0,0.0,0
31101,2027,31,12,14,5,0.06451612903225806,4.5,5.0,0.3870967741935484,1
31179,2026,38,4,22,12,0.47368421052631576,4.136842105263158,5.0,0.10526315789473684,1
31179,2027,56,17,27,12,0.17857142857142858,4.285714285714286,5.0,0.30357142857142855,1
31195,2017,1,1,0,0,-1.0,3.0,3.0,1.0,0
31195,2019,1,1,0,0,-1.0,3.5,3.5,1.0,0
31195,2020,2,0,2,0,1.0,3.75,4.0,0.0,0
