feature,importance
cat__payment_terms_L030 Current Month + 30 days,1.8563274e-05
cat__fin_Implied_rating - original_Aa2,1.8485649e-05
cat__nn_contract_type_Freight Forwarder Agreement,1.8288967e-05
cat__unit_SSIMS,1.8000184e-05
cat__fin_closing_date_2022-06-30,1.7964016e-05
cat__fin_moodys_company_name_Gerresheimer Horsovsky Tyn spol. s r.o.,1.7606191e-05
cat__fin_moodys_company_name_Deloitte Statsautoriseret Revisionspartnerselskab,1.7469592e-05
cat__contract_currency_code_CHF,1.7186781e-05
cat__supplier_sector_Metals & Metal Products,1.6967562e-05
cat__fin_closing_date_2023-06-30,1.6333735e-05
cat__fin_moodys_company_name_Kalundborg Bioenergi ApS,1.6083786e-05
cat__contract_commodity_Ocean Transportation,1.5818896e-05
cat__supplier_sector_Retail,1.511121e-05
cat__incoterms_DDU Delivered duty unpaid,1.3000244e-05
cat__contract_commodity_Transport Consumables,1.27557305e-05
cat__fin_Status_Dissolved,1.2751982e-05
cat__contract_commodity_Other Energy & Utilities,1.2743493e-05
cat__fin_moodys_company_name_Novo Nordisk Production Belgium SA,1.1748122e-05
cat__fin_closing_date_2025-08-31,1.1679104e-05
num__fin_flag_long_term_liab_equity_high,1.0952255e-05
cat__fin_moodys_company_name_Elis Danmark A/S,1.06872185e-05
num__fin_financial_risk_score,1.0684774e-05
cat__fin_moodys_company_name_DSV Contract Logistics A/S,1.0102465e-05
cat__contract_commodity_Aseptic Filling,9.9525305e-06
cat__fin_moodys_company_name_Sartorius Stedim UK Limited,9.815795e-06
cat__fin_moodys_company_name_CUC Engineering A/S,9.689454e-06
cat__fin_Implied_rating - original_A1,9.311312e-06
cat__payment_terms_F055 Invoice Date + 55 days,9.269381e-06
cat__fin_Implied_rating - original_Ba3,8.96018e-06
cat__fin_moodys_company_name_AVISTA Green ApS,8.9347195e-06
cat__contract_commodity_Small Molecules (Raw Materials),8.918827e-06
cat__contract_commodity_Outsourced Product Services,8.870915e-06
cat__fin_moodys_company_name_Ypsomed AG,8.436424e-06
cat__fin_moodys_company_name_Asahi Kasei Bioprocess Europe,7.769618e-06
cat__contract_commodity_Needles,7.0812803e-06
cat__team_Bioprocessing and Excipients,6.830945e-06
cat__contract_commodity_Biopharm Sidechains Unclassified,6.5101494e-06
num__market_flag_negative_eps,6.3393913e-06
cat__contract_commodity_Metal,5.655612e-06
"cat__payment_terms_O045 14 days -1,5%, 45 days",5.2312594e-06
cat__department_Bioprocessing & Raw Materials,5.193725e-06
cat__expiry_pressure_bucket_1_to_3y,5.167294e-06
cat__company_country_RUSSIAN FEDERATION,4.8850993e-06
cat__contract_commodity_Labels,4.21315e-06
cat__contract_commodity_Fuel,4.089843e-06
num__missingindicator_International_Shipments,4.065993e-06
cat__fin_moodys_company_name_Lonza Sales AG,4.005983e-06
cat__contract_commodity_Electronics and Other Components,3.221154e-06
cat__contract_commodity_Rubber Plungers,2.8408372e-06
num__fin_flag_short_term_gearing_high,2.818711e-06
cat__payment_terms_L045 Current Month + 45 days,2.3816815e-06
cat__Risk level_stock_closing_price_Take caution,2.3448788e-06
cat__nn_contract_type_Work Order,2.2758704e-06
num__missingindicator_Infrastructure,2.1875635e-06
cat__contract_commodity_Outsourced GMP Laboratory Analysis,2.1712656e-06
cat__contract_currency_code_BRL,2.05119e-06
cat__fin_moodys_company_name_Parker Hannifin Danmark ApS,1.740048e-06
num__fin_interest_coverage_ratio_missing_flag,1.0598629e-06
num__missingindicator_news_article_count,7.3405243e-07
num__missingindicator_fin_profit_margin,5.0432595e-07
cat__team_Drug Substance Outsourcing API,4.8298654e-07
cat__team_Drug Substance Outsourcing ET,3.5554757e-07
cat__Code_USA,3.2788117e-07
cat__contract_commodity_Filters,7.002962e-08
cat__contract_commodity_Electricity,0.0
"cat__fin_moodys_company_name_Xi'An Global Printing Co.,Ltd.",0.0
cat__fin_moodys_company_name_VWR International A/S,0.0
cat__fin_moodys_company_name_Va-Q-Tec AG,0.0
cat__fin_moodys_company_name_W. R. Grace & Co.-Conn.,0.0
cat__fin_moodys_company_name_Watson-Marlow Flexicon A/S,0.0
cat__contract_status_published,0.0
"cat__fin_moodys_company_name_West Pharmaceutical Services, Inc.",0.0
cat__fin_moodys_company_name_Yara Danmark A/S,0.0
cat__fin_moodys_company_name_Troy X Investment Holding S.a r.l.,0.0
num__missingindicator_market_log_vol_shock_ratio,0.0
num__missingindicator_Timeliness,0.0
cat__fin_moodys_company_name_Zirq Medical A/S,0.0
cat__fin_moodys_company_name_eutecma gmbh,0.0
cat__fin_closing_date_2015-03-31,0.0
cat__fin_closing_date_2016-12-31,0.0
cat__fin_moodys_company_name_UFAG Laboratorien AG,0.0
cat__fin_moodys_company_name_Tosoh Bioscience GmbH,0.0
cat__fin_closing_date_2017-12-31,0.0
cat__fin_moodys_company_name_Topp Trykluft A/S,0.0
cat__fin_moodys_company_name_Thermo Fisher Scientific B.V.,0.0
cat__fin_moodys_company_name_Tech Group Europe Limited,0.0
cat__fin_moodys_company_name_TN Rayong CO LTD,0.0
cat__payment_terms_0001 Payable immediately Due net,0.0
cat__fin_moodys_company_name_SwissCo CDMO Operations GmbH,0.0
cat__fin_moodys_company_name_Suzano S.A.,0.0
cat__fin_moodys_company_name_Stok Emballage K/S,0.0
cat__fin_moodys_company_name_Stibo Complete A/S,0.0
cat__fin_moodys_company_name_Stevanato Group Denmark A/S,0.0
cat__fin_moodys_company_name_Steris Corp,0.0
cat__fin_moodys_company_name_Steripack Medical Poland Sp. z o.o.,0.0
cat__fin_moodys_company_name_Sterimed UK Holdings LTD,0.0
cat__fin_moodys_company_name_Sterigenics Denmark A/S,0.0
cat__fin_closing_date_2017-06-30,0.0
cat__fin_closing_date_2018-06-30,0.0
cat__fin_moodys_company_name_Steiert Praezisionsformenbau GmbH,0.0
cat__fin_closing_date_2024-05-31,0.0
cat__fin_closing_date_2023-10-31,0.0
cat__fin_closing_date_2023-11-30,0.0
num__missingindicator_market_cap_volatility,0.0
cat__fin_closing_date_2024-01-31,0.0
cat__fin_closing_date_2024-03-31,0.0
cat__fin_closing_date_2024-04-30,0.0
cat__fin_closing_date_2024-06-30,0.0
cat__fin_closing_date_2018-12-31,0.0
cat__fin_closing_date_2024-08-31,0.0
cat__fin_closing_date_2024-09-30,0.0
cat__fin_closing_date_2024-10-31,0.0
cat__fin_closing_date_2024-11-30,0.0
num__missingindicator_vol_trend_slope,0.0
cat__fin_closing_date_2025-01-31,0.0
cat__fin_closing_date_2023-09-30,0.0
cat__fin_closing_date_2023-08-31,0.0
num__missingindicator_avg_closing_price,0.0
cat__fin_closing_date_2023-05-31,0.0
cat__fin_closing_date_2023-04-30,0.0
cat__fin_closing_date_2023-03-31,0.0
cat__fin_closing_date_2023-01-31,0.0
num__missingindicator_price_volatility_score,0.0
cat__fin_closing_date_2022-11-30,0.0
cat__fin_closing_date_2022-10-31,0.0
cat__fin_closing_date_2022-09-30,0.0
cat__fin_closing_date_2022-08-31,0.0
num__missingindicator_price_trend_slope,0.0
num__missingindicator_Tracking_Tracing,0.0
cat__fin_closing_date_2020-12-31,0.0
cat__fin_closing_date_2019-12-31,0.0
cat__fin_closing_date_2019-06-30,0.0
cat__fin_moodys_company_name_Stena Recycling A/S,0.0
cat__payment_terms_F010 Invoice Date + 10 days,0.0
cat__fin_closing_date_2025-04-30,0.0
cat__fin_moodys_company_name_Norris Print-Tech A/S,0.0
cat__fin_moodys_company_name_Nilaus Plast ApS,0.0
cat__fin_moodys_company_name_Nilfisk A/S,0.0
cat__fin_moodys_company_name_Nippon Gases Danmark A/S,0.0
cat__fin_moodys_company_name_Nolato Cerbo AB,0.0
cat__fin_moodys_company_name_Norchim,0.0
