,Country,Code,LPI_Score,Customs,Infrastructure,International_Shipments,Logistics_Competence,Tracking_Tracing,Timeliness,Year,PPI_Value
1151,Norway,,3.958243,4.20779,4.191941,3.422711,4.191941,3.499634,4.358583,2017,81.0
1152,Norway,NOR,3.696623,3.52,3.691019,3.429029,3.688636,3.944192,3.942627,2018,88.0
1153,Norway,,3.696623,3.52,3.691019,3.429029,3.688636,3.944192,3.942627,2019,90.8
1154,Norway,,3.696623,3.52,3.691019,3.429029,3.688636,3.944192,3.942627,2020,88.9
1155,Norway,,3.696623,3.52,3.691019,3.429029,3.688636,3.944192,3.942627,2021,100.0
1156,Norway,,3.696623,3.52,3.691019,3.429029,3.688636,3.944192,3.942627,2022,125.9
1157,Norway,NOR,3.7,3.8,3.9,3.0,3.8,3.7,4.0,2023,134.1
1158,Norway,,3.7,3.8,3.9,3.0,3.8,3.7,4.0,2024,136.8
1159,Norway,,3.7,3.8,3.9,3.0,3.8,3.7,4.0,2025,138.4
1160,Oman,OMN,2.923213811310984,2.71429,2.85714,2.57143,2.66667,2.8,4.0,2007,
1161,Oman,OMN,2.839455,3.375,3.0625,2.3125,2.369792,2.036458,3.935417,2010,
1162,Oman,OMN,2.887491,3.096753,2.96342,2.777778,2.733055,2.590198,3.165959,2012,
1163,Oman,OMN,2.995026,2.634615,2.884615,3.409091,2.837413,2.837413,3.291958,2014,
1164,Oman,OMN,3.196838,2.866667,3.155275,3.299365,3.054147,2.970814,3.804147,2018,
1165,Oman,OMN,3.3,3.0,3.2,3.4,3.2,3.9,3.1,2023,
1166,Pakistan,PAK,2.6185536195223733,2.40909,2.36842,2.72222,2.70588,2.57143,2.92857,2007,
1167,Pakistan,PAK,2.530255,2.052399,2.083646,2.909618,2.282632,2.638487,3.075987,2010,
1168,Pakistan,PAK,2.825614,2.846154,2.692308,2.857495,2.774162,2.607495,3.138721,2012,
1169,Pakistan,PAK,2.825426,2.842105,2.669871,3.081636,2.787518,2.728695,2.787518,2014,
1170,Pakistan,PAK,2.419197,2.122048,2.197486,2.629385,2.58688,2.265452,2.663294,2018,
1171,Panama,PAN,2.8887168461682027,2.68421,2.78947,2.8,2.73333,2.93333,3.42857,2007,
1172,Panama,PAN,3.024052,2.7627,2.631198,2.866493,2.834527,3.259649,3.759649,2010,
1173,Panama,PAN,2.926617,2.555556,2.944444,2.756944,2.838235,3.014706,3.465441,2012,
1174,Panama,PAN,3.193734,3.149714,2.995915,3.183415,2.865686,3.336275,3.630392,2014,
1175,Panama,PAN,3.275982,2.866262,3.130318,3.314538,3.333333,3.4,3.596759,2018,
1176,Panama,PAN,3.1,3.0,3.3,3.1,3.0,2.9,3.4,2023,
1177,Papua New Guinea,PNG,2.380730528808111,2.0,2.0,2.57143,2.28571,2.28571,3.14286,2007,
1178,Papua New Guinea,PNG,2.410616,2.016552,1.914773,2.549242,2.195432,2.434614,3.241049,2010,
1179,Papua New Guinea,PNG,2.375238,1.976471,2.203361,2.341177,2.179972,2.513305,3.013305,2012,
